mz__rtMin,putative_mw,mz,rtMin,ion,lcms_run
180.94483__0.465,121.93082,180.94483,0.465,[M-H+HAc]-1,high-bps-wk07-wk22
180.94497__0.479,181.95244,180.94497,0.479,[M-H]-1,high-bps-wk07-wk22
553.28499__1.525,277.14609,553.28499,1.525,[2M-H]-1,high-bps-wk07-wk22
560.80859__0.561,561.8165,560.80859,0.561,[M-H]-1,high-bps-wk07-wk22
128.95823__0.61,129.96551,128.95823,0.61,[M-H]-1,high-bps-wk07-wk22
404.77559__0.523,405.78292,404.77559,0.523,[M-H]-1,high-bps-wk07-wk22
151.9833__0.482,152.99052,151.9833,0.482,[M-H]-1,high-bps-wk07-wk22
553.28453__1.55,554.29168,553.28453,1.55,[M-H]-1,high-bps-wk07-wk22
299.07658__2.198,300.08349,299.07658,2.198,[M-H]-1,high-bps-wk07-wk22
456.25221__2.254,457.25949,456.25221,2.254,[M-H]-1,high-bps-wk07-wk22
328.22105__1.544,329.22834,328.22105,1.544,[M-H]-1,high-bps-wk07-wk22
315.07518__1.778,316.08245,315.07518,1.778,[M-H]-1,high-bps-wk07-wk22
550.78007__0.547,551.78786,550.78007,0.547,[M-H]-1,high-bps-wk07-wk22
208.85566__0.486,209.86293,208.85566,0.486,[M-H]-1,high-bps-wk07-wk22
311.11311__1.381,312.1206,311.11311,1.381,[M-H]-1,high-bps-wk07-wk22
397.25922__1.584,398.26658,397.25922,1.584,[M-H]-1,high-bps-wk07-wk22
305.21556__1.807,306.22283,305.21556,1.807,[M-H]-1,high-bps-wk07-wk22
337.31136__2.702,338.31864,337.31136,2.702,[M-H]-1,high-bps-wk07-wk22
225.03828__2.445,226.04556,225.03828,2.445,[M-H]-1,high-bps-wk07-wk22
234.86842__0.627,235.8757,234.86842,0.627,[M-H]-1,high-bps-wk07-wk22
213.03746__0.7,214.04473,213.03746,0.7,[M-H]-1,high-bps-wk07-wk22
254.98147__0.454,255.98875,254.98147,0.454,[M-H]-1,high-bps-wk07-wk22
90.96674__1.519,91.97402,90.96674,1.519,[M-H]-1,high-bps-wk07-wk22
103.95884__0.597,104.96612,103.95884,0.597,[M-H]-1,high-bps-wk07-wk22
528.65697__0.507,529.66471,528.65697,0.507,[M-H]-1,high-bps-wk07-wk22
526.65997__0.505,527.66726,526.65997,0.505,[M-H]-1,high-bps-wk07-wk22
285.11631__1.556,286.12358,285.11631,1.556,[M-H]-1,high-bps-wk07-wk22
245.17578__1.494,246.18306,245.17578,1.494,[M-H]-1,high-bps-wk07-wk22
157.99059__0.477,158.99788,157.99059,0.477,[M-H]-1,high-bps-wk07-wk22
347.01126__1.516,348.01856,347.01126,1.516,[M-H]-1,high-bps-wk07-wk22
347.01165__1.526,151.00737,347.01165,1.526,[2M+FA-H]-1,high-bps-wk07-wk22
352.8954__0.462,353.90267,352.8954,0.462,[M-H]-1,high-bps-wk07-wk22
332.92182__0.598,333.9291,332.92182,0.598,[M-H]-1,high-bps-wk07-wk22
88.98651__2.043,89.99379,88.98651,2.043,[M-H]-1,high-bps-wk07-wk22
536.20751__1.317,537.21478,536.20751,1.317,[M-H]-1,high-bps-wk07-wk22
458.8902__0.643,459.89747,458.8902,0.643,[M-H]-1,high-bps-wk07-wk22
195.13834__1.526,196.14593,195.13834,1.526,[M-H]-1,high-bps-wk07-wk22
146.92228__4.613,147.92955,146.92228,4.613,[M-H]-1,high-bps-wk07-wk22
548.78293__0.545,549.79021,548.78293,0.545,[M-H]-1,high-bps-wk07-wk22
322.89326__0.582,323.90054,322.89326,0.582,[M-H]-1,high-bps-wk07-wk22
256.87635__0.49,257.8836,256.87635,0.49,[M-H]-1,high-bps-wk07-wk22
209.98315__0.534,229.00123,209.98315,0.534,[M-H-H2O]-1,high-bps-wk07-wk22
209.9833__0.574,210.99058,209.9833,0.574,[M-H]-1,high-bps-wk07-wk22
208.98263__0.684,209.98991,208.98263,0.684,[M-H]-1,high-bps-wk07-wk22
302.01287__1.331,303.02015,302.01287,1.331,[M-H]-1,high-bps-wk07-wk22
153.01829__1.072,154.02557,153.01829,1.072,[M-H]-1,high-bps-wk07-wk22
208.02792__0.864,209.03518,208.02792,0.864,[M-H]-1,high-bps-wk07-wk22
307.19219__1.792,308.19904,307.19219,1.792,[M-H]-1,high-bps-wk07-wk22
313.12878__2.976,314.13601,313.12878,2.976,[M-H]-1,high-bps-wk07-wk22
