feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV105	exposure	dinp	0.00053895498726106	0.000920630432454094	28	12	0.565154795667535	0.738618148793215
ASV014	exposure	dinp	0.00382041343604755	0.00700319926019421	28	16	0.591740726485232	0.765782116627947
ASV059	exposure	dinp	-0.000545619062443452	0.00105225454242445	28	25	0.610079262034805	0.781849151345576
ASV030	exposure	dinp	0.00138057007455924	0.00280468349853682	28	28	0.628190971456927	0.782275549361457
ASV049	culture_day	d7	0.00104075609255389	0.00209070798729875	28	18	0.624336937124306	0.782275549361457
ASV059	culture_day	d7	-0.000521140216450496	0.00105225454242445	28	25	0.626095279561931	0.782275549361457
ASV041	exposure	dinp	-0.00120450035329871	0.00266537321364451	28	28	0.656452619630948	0.809829399918553
ASV003	exposure	dinp	0.0107482013620359	0.0264542019671155	28	28	0.689065819086451	0.823833466454179
ASV051	exposure	dinp	0.00128585493460223	0.00320524177399152	28	28	0.692769051336468	0.823833466454179
ASV061	culture_day	d7	0.000381507873817795	0.00090945581073153	28	16	0.679562810517026	0.823833466454179
ASV097	exposure	dinp	-0.000400890303022079	0.000984690025832813	28	25	0.688467451631375	0.823833466454179
ASV005	exposure	dinp	-0.00249318364322796	0.00663598564012459	28	22	0.711296898610077	0.835326764425857
ASV037	exposure	dinp	-0.00109135749388864	0.0029454398706582	28	28	0.715090336213044	0.835326764425857
ASV017	exposure	dinp	0.00363133706102563	0.0107581338858483	28	28	0.739407872519233	0.856156483969639
ASV049	exposure	dinp	-0.000617163450675477	0.00209070798729875	28	18	0.771047581404212	0.885028528220487
ASV068	exposure	dinp	0.000341072688540659	0.00124119129258131	28	27	0.78643983323773	0.894914292994658
ASV010	culture_day	d7	0.00255646005440204	0.0100377480958031	28	28	0.801702926245611	0.897367276722714
ASV013	exposure	dinp	-0.00500524941884002	0.0201281039787014	28	28	0.806284385211794	0.897367276722714
ASV058	exposure	dinp	-0.000412486314896107	0.00168278159787611	28	20	0.808990196439416	0.897367276722714
ASV006	exposure	dinp	-0.00750376875162846	0.0371223722324017	28	12	0.841958993443018	0.919805084461796
ASV012	exposure	dinp	-0.00195555845873988	0.00974927937190294	28	28	0.843154660756646	0.919805084461796
ASV023	exposure	dinp	0.00142802596023392	0.00806700522084106	28	28	0.861365634972795	0.925818895629983
ASV033	exposure	dinp	-0.00111462497864022	0.00635821174205475	28	28	0.862694880018847	0.925818895629983
ASV010	exposure	dinp	-0.00138816268354664	0.0100377480958031	28	28	0.891463063092891	0.933913685144933
ASV017	culture_day	d7	-0.0016650918925175	0.0107581338858483	28	28	0.878630909507071	0.933913685144933
ASV034	exposure	dinp	-0.000443218249064141	0.00316537399163031	28	28	0.890117229535103	0.933913685144933
ASV014	culture_day	d7	-0.000613417515829804	0.00700319926019421	28	16	0.931118308208296	0.960215755339805
ASV073	exposure	dinp	-9.86295960307812e-05	0.00107241699194168	28	16	0.927685087485938	0.960215755339805
ASV042	exposure	dinp	-9.21424341480364e-05	0.00166655872761125	28	28	0.956485449657052	0.978729297323495
ASV090	exposure	dinp	4.18174827755632e-05	0.00114036422807382	28	21	0.971130441201218	0.98607090952739
ASV022	exposure	dinp	0.000125783211026883	0.00969408052555768	28	28	0.989782808924564	0.99733840288582
ASV027	exposure	dinp	-6.05525875450676e-06	0.00213533033723917	28	28	0.997766966115305	0.997766966115305
