dataset	culture_day	pathwayID	log2FC_exp	FDR_age	slope	direction	rep_features	pathway
BPS_high_wk22	d7	map00945	2.0057167585152142	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	13	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk22	d1	map00970	0.3364228550891834	1.5152547062618763e-9	-0.10930081830072494	decreasing_with_age	13	Aminoacyl-tRNA biosynthesis
BPS_high_wk22	d7	map00970	0.7034352950271865	1.5152547062618763e-9	-0.10930081830072494	decreasing_with_age	13	Aminoacyl-tRNA biosynthesis
BPS_high_wk22	d1	map00983	0.8584453332709394	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk22	d2	map00983	0.5975015376181212	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk22	d7	map00983	0.884170333424282	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk22	d7	map00999	0.5874388667776392	2.1306523897752172e-8	-0.10393781819817163	decreasing_with_age	46	Biosynthesis of various plant secondary metabolites
BPS_high_wk22	d1	map01200	0.7777676476534781	0.00227651869105226	-0.05643068841149257	decreasing_with_age	48	Carbon metabolism
BPS_high_wk22	d1	map01220	0.963808454183849	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	131	Degradation of aromatic compounds
BPS_high_wk22	d2	map01220	0.7257874383242743	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	131	Degradation of aromatic compounds
BPS_high_wk22	d7	map01220	0.8904215234528498	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	131	Degradation of aromatic compounds
BPS_high_wk22	d2	map01232	0.7910061720609497	1.2908004522298605e-5	-0.14045023886769142	decreasing_with_age	33	Nucleotide metabolism
BPS_high_wk22	d1	map02010	0.7328131620292885	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	70	ABC transporters
BPS_high_wk22	d2	map02010	0.5196548171082339	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	70	ABC transporters
BPS_high_wk22	d7	map02010	0.8522170549440702	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	70	ABC transporters
BPS_high_wk22	d7	map04024	0.4833578066730121	0.00227651869105226	-0.01511339928532805	decreasing_with_age	9	cAMP signaling pathway
BPS_high_wk22	d7	map04066	0.5625112940440354	0.01498690150847164	-0.05599535953791273	decreasing_with_age	10	HIF-1 signaling pathway
BPS_high_wk22	d7	map04081	0.5478748510763496	5.933719152456027e-4	-0.0901386546620317	decreasing_with_age	10	Hormone signaling
BPS_high_wk22	d2	map04082	0.3730938410465461	0.01348505321418719	-0.04118090829462445	decreasing_with_age	15	Neuroactive ligand signaling
BPS_high_wk22	d7	map04216	0.5265434631956016	0.00256181441522959	-0.0601184079895134	decreasing_with_age	22	Ferroptosis
BPS_high_wk22	d1	map04923	1.6753380838573166	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d2	map04923	1.7737687890985645	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d7	map04923	1.8427164336420616	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d7	map04927	1.0712073974902596	6.285026293582096e-4	-0.09682677047649	decreasing_with_age	8	Cortisol synthesis and secretion
BPS_high_wk22	d7	map04934	1.0712073974902596	6.285026293582096e-4	-0.09682677047649	decreasing_with_age	8	Cushing syndrome
BPS_high_wk22	d2	map04974	1.0801310097743535	1.0612122539179705e-4	-0.14229508597236756	decreasing_with_age	30	Protein digestion and absorption
BPS_high_wk22	d7	map04974	0.7561080963913542	1.0612122539179705e-4	-0.14229508597236756	decreasing_with_age	30	Protein digestion and absorption
BPS_high_wk22	d7	map04978	0.5342847354270878	0.00472105581009895	-0.06222466545953969	decreasing_with_age	14	Mineral absorption
BPS_high_wk22	d7	map05010	0.5596428234673996	0.02060257856189266	-0.05342858827093997	decreasing_with_age	8	Alzheimer disease
BPS_high_wk22	d7	map05146	0.478478989778307	1.1121522153658348e-4	-0.07756843640686192	decreasing_with_age	9	Amoebiasis
BPS_high_wk22	d2	map05200	0.37226969224155354	0.00329800135802502	-0.01887897898216565	decreasing_with_age	26	Pathways in cancer
BPS_high_wk22	d1	map05415	0.7032119607415067	5.455073211862143e-5	-0.07355154363063597	decreasing_with_age	24	Diabetic cardiomyopathy
BPS_high_wk22	d2	map05415	0.5072579223286853	5.455073211862143e-5	-0.07355154363063597	decreasing_with_age	24	Diabetic cardiomyopathy
BPS_high_wk22	d7	map05415	0.7278790124396328	5.455073211862143e-5	-0.07355154363063597	decreasing_with_age	24	Diabetic cardiomyopathy
BPS_high_wk22	d1	map07030	0.6885335204072576	0.03788100529413959	0.02453432770426033	increasing_with_age	2	Anxiolytics
BPS_high_wk22	d7	map07034	0.488555532683119	0.0016167383512595	-0.06429833019965628	decreasing_with_age	24	Eicosanoids
BPS_high_wk40	d1	map00760	1.988031722572228	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk40	d2	map00760	2.1613431509206635	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk40	d7	map00760	2.115946297064278	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk40	d7	map00901	-1.1918626731750612	0.00269267782311566	-0.02422866935435422	decreasing_with_age	18	Indole alkaloid biosynthesis
BPS_high_wk40	d7	map00941	-0.9895238993900084	0.04905129540769274	-0.11893121848204131	decreasing_with_age	54	Flavonoid biosynthesis
BPS_low_wk12	d7	map00450	-1.062806800493538	1.4050624925737783e-9	-0.1114368960138509	decreasing_with_age	3	Selenocompound metabolism
BPS_low_wk12	d7	map00623	-1.062806800493538	7.991343410698323e-7	-0.09457180512644511	decreasing_with_age	36	Toluene degradation
BPS_low_wk12	d7	map00750	-1.062806800493538	3.7197194671805602e-9	-0.09042005733856344	decreasing_with_age	13	Vitamin B6 metabolism
BPS_low_wk12	d7	map00970	-0.7913112751570243	1.5152547062618763e-9	-0.10930081830072494	decreasing_with_age	13	Aminoacyl-tRNA biosynthesis
BPS_low_wk12	d7	map02010	-0.7720122875240537	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	67	ABC transporters
DINP_high_wk07	d1	map00330	0.6493370267628853	0.00147040475526459	0.07304701664757984	increasing_with_age	38	Arginine and proline metabolism
DINP_high_wk07	d1	map01040	-0.47984584417024984	3.770281549521227e-4	0.07499334864487835	increasing_with_age	22	Biosynthesis of unsaturated fatty acids
DINP_high_wk07	d1	map01212	-0.533923203669903	1.759586802610781e-4	0.07146908900187682	increasing_with_age	16	Fatty acid metabolism
DINP_high_wk07	d1	map04216	-0.4936620250981583	0.00109926922326415	0.09058652676916452	increasing_with_age	22	Ferroptosis
DINP_high_wk22	d7	map00074	3.521398982824573	0.01050928193541042	0.04054158742243514	increasing_with_age	12	Mycolic acid biosynthesis
DINP_high_wk22	d7	map00121	3.596630307676742	0.00138984787555829	0.11307090409663643	increasing_with_age	19	Secondary bile acid biosynthesis
DINP_high_wk22	d7	map00230	1.54176733083327	0.01375630974679902	0.07563233940982016	increasing_with_age	36	Purine metabolism
DINP_high_wk22	d7	map00290	3.157041473461865	2.724197686185774e-4	0.20644828656016803	increasing_with_age	14	Valine, leucine and isoleucine biosynthesis
DINP_high_wk22	d7	map00330	2.266190036204675	0.00147040475526459	0.07304701664757984	increasing_with_age	38	Arginine and proline metabolism
DINP_high_wk22	d7	map00525	0.8597956788982793	6.142707971808176e-9	0.1148891569235507	increasing_with_age	2	Acarbose and validamycin biosynthesis
DINP_high_wk22	d7	map00540	2.247822132408988	7.167285982591185e-5	0.13742901569160793	increasing_with_age	3	Lipopolysaccharide biosynthesis
