variable	V1	V2	V3
ko04911	-0.09318239025238897	-0	0.009125407932079655
ko04914	0.07654576296141452	0.019986664570994014	0.004641100262175227
ko04915	0.07654576296141452	0.019986664570994014	0.004641100262175227
ko04917	-0	-0.10477613831837242	-0.05909530947395059
ko04918	-0.08765510816089156	-0.004064107274337727	0.0027383967150275443
ko04919	-0.0816878259016485	0.025114701485892527	-0.03789768908286734
ko04920	0.10049323449310126	-0.013602294384535628	0.0020774687392531356
ko04922	-0.10400650986913872	0.012058820177981542	0.004471870745788099
ko04925	-0.09318239025238897	-0	0.009125407932079655
ko04930	-0.11225023040045684	0.012195876632490645	0.017866697157455796
ko04931	0.0654889558567234	-0.011276167484533195	0.05598692793542554
ko04934	-0.09324392668878144	-0	0.009138521553057681
ko04940	-0	0.08372257503698458	-0.09376913467192334
ko04960	-0.09318239025238897	-0	0.009125407932079655
ko04961	-0.09318239025238897	-0	0.009125407932079655
ko04964	-0.12728740523457785	0.022049665775726823	0.03651714263221096
ko04970	-0.09318239025238897	-0	0.009125407932079655
ko04971	-0.09318239025238897	-0	0.009125407932079655
ko04972	-0.09318239025238897	-0	0.009125407932079655
ko04973	-0.08047316672428592	0.02397277852163013	-0.03922864356897637
ko04974	-0.10586750224467041	0.021236252442468413	0.002108451822879174
ko04976	-0.09318239025238897	-0	0.009125407932079655
ko04978	-0.09318239025238897	-0	0.009125407932079655
ko04979	0	-0.019792568620345393	0.01926076102137326
ko05010	-0.09177980480810077	0	-0.005217434080029104
ko05014	0	0.11289188880121573	-0.005875911460414691
ko05016	0	0.11302057606653622	-0.005746776510774246
ko05100	0	-0.018398880262787874	0.02738115438297191
ko05110	-0.06186721890876471	-0.023844507007068035	-0.02704172456178333
ko05111	-0.06494444104366373	0.019861910278520592	-0.06101331420467054
ko05120	0.09877087094682678	-0	-0.0052550696716655385
ko05132	0.09540519433971414	-0.009420850074112508	0.007870980452891233
ko05133	0.08782682986803934	-0.013946285907351957	0.022495040369963408
ko05134	0	0.1102684238542366	-0.0328315646346907
ko05143	0	0.11318804640326935	-0.008190889614851536
ko05146	0	-0.03176823614864058	0.13513700232651688
ko05150	-0.08121590812042132	-0.00912504556931169	-0.004674160708313938
ko05152	-0.1053809491313153	0.0068584850618781945	0.009895356249888645
ko05165	-0.11225023040045684	0.012195876632490645	0.017866697157455796
ko05166	0	-0.019792568620345393	0.01926076102137326
ko05200	-0.02199236662205977	0.007230982410991732	-0.11992380832450823
ko05203	-0.11225023040045684	0.012195876632490645	0.017866697157455796
ko05204	0	-0	0.1463224915876791
ko05205	-0.10976762827076032	0.00621243943051498	0.017592275647458078
ko05206	0.019726459438093643	-0	0.12012861515109712
ko05211	-0.09324392668878144	-0	0.009138521553057681
ko05215	0.07654576296141452	0.019986664570994014	0.004641100262175227
ko05219	0.002868537432985165	-0	0.14443159372124403
ko05225	-0	0.03194165198675395	-0.13797676484992244
ko05230	-0.08074824036850739	0.020470421123808234	-0.03702370259534839
ko05231	0.06827485867842151	0.026445688186344685	0.01417627258992786
ko05340	-0.08778558586084845	-0.004022185772133725	0.0029142802083044228
ko05418	0	0.11098896856162478	0.03575607230442233
