lcms_run,pathway,p_age,FDR_age,slope,direction
high-bps-wk07-wk22,map04918,9.422917655334948e-5,4.446024527517194e-4,-0.03591284888930715,decreasing_with_age
high-bps-wk07-wk22,map00623,9.541902579938296e-8,7.991343410698323e-7,-0.09457180512644511,decreasing_with_age
high-bps-wk07-wk22,map00380,8.757603518391295e-7,5.987341180940987e-6,-0.13805301782612542,decreasing_with_age
high-bps-wk07-wk22,map01052,0.017470632806597632,0.03788100529413959,-0.06230623835651607,decreasing_with_age
high-bps-wk07-wk22,map04930,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00350,0.01950844030960576,0.04162628983259828,-0.042622398609780274,decreasing_with_age
high-bps-wk07-wk22,map00130,0.006194796111582153,0.015734041793450285,-0.0347871886223578,decreasing_with_age
high-bps-wk07-wk22,map00280,1.5365965999375342e-4,6.51594760733005e-4,-0.08139289498589157,decreasing_with_age
high-bps-wk07-wk22,map04270,0.003351997994101879,0.009516265491729911,-0.06751617767384614,decreasing_with_age
high-bps-wk07-wk22,map00750,3.3310920604184016e-10,3.719719467467215e-9,-0.09042005733856343,decreasing_with_age
high-bps-wk07-wk22,map00622,5.4529150987917144e-8,4.6839142515262163e-7,-0.09711741109372822,decreasing_with_age
high-bps-wk07-wk22,map00410,0.00349902292498734,0.009850190587149235,-0.05100868096708523,decreasing_with_age
high-bps-wk07-wk22,map01501,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map04024,6.659666618600654e-4,0.0022765186910522644,-0.015113399285328058,decreasing_with_age
high-dinp-wk07-wk22,map00525,2.0822738887485342e-11,6.142707971808176e-9,0.1148891569235507,increasing_with_age
high-dinp-wk07-wk22,map00970,3.541080703415278e-4,0.0033697380887338932,0.09271226009443104,increasing_with_age
high-dinp-wk07-wk22,map01523,3.541080703415278e-4,0.0033697380887338932,0.09271226009443104,increasing_with_age
high-dinp-wk07-wk22,map00572,7.070530241408771e-9,1.0429032106077938e-6,0.056220457290805104,increasing_with_age
high-dinp-wk07-wk22,map00590,5.161512750409241e-4,0.004614079579911292,0.011235833981019567,increasing_with_age
high-dinp-wk07-wk22,map00330,1.14641726680076e-4,0.001470404755244453,0.0730470166475807,increasing_with_age
high-dinp-wk07-wk22,map00053,0.010883931272939152,0.04338864493941959,0.0764881099899449,increasing_with_age
high-dinp-wk07-wk22,map05310,0.0017424700149593665,0.01253728425397593,0.07633003590194824,increasing_with_age
high-dinp-wk07-wk22,map00791,1.7022798295598407e-6,7.167285982591185e-5,-0.1854567314324617,decreasing_with_age
high-dinp-wk07-wk22,map01063,0.008548975959774437,0.04196144872389404,0.04074882950446706,increasing_with_age
high-dinp-wk07-wk22,map01051,3.183712785239009e-5,5.869970447784424e-4,0.006614125093489633,increasing_with_age
high-dinp-wk07-wk22,map01240,8.533710885204415e-4,0.007404249150397948,0.02971965177978205,increasing_with_age
high-dinp-wk07-wk22,map01061,0.007300025233096363,0.03822689392539958,-0.03601176163700331,decreasing_with_age
high-dinp-wk07-wk22,map01110,0.0036664551762818254,0.022488536698554846,0.014283487978652401,increasing_with_age
high-dinp-wk07-wk22,map01040,1.78928615909482e-5,3.7702815495212276e-4,0.07499334864487835,increasing_with_age
high-dinp-wk07-wk22,map00996,0.0025272413081596466,0.016207308389284688,-0.00985940054396877,decreasing_with_age
high-dinp-wk07-wk22,map00998,2.1971252681259902e-4,0.0024928921311429507,-0.005966625097001954,decreasing_with_age
high-dinp-wk07-wk22,map05224,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map00930,1.2073204979298329e-4,0.0014839981120387529,0.19215222255512535,increasing_with_age
high-dinp-wk07-wk22,map00332,2.9627937664078986e-7,1.7480483221806602e-5,-0.017472057377367133,decreasing_with_age
high-dinp-wk07-wk22,map01200,0.0031923859245249877,0.02003731590925258,0.010721276759914957,increasing_with_age
high-dinp-wk07-wk22,map00906,1.9436707749399823e-6,7.167285982591185e-5,0.18064026344163547,increasing_with_age
