variable	U1	U2	U3
Progesterone, androgen and estrogen receptor agonists/antagonists	0.01069681700002399	0.0163773687988598	0
Prolactin signaling pathway	0.026082024987316377	0.030347334960298213	0
Propanoate metabolism	0	0	0.023724228766584442
Prostaglandins	0.08558288319702125	0.07664943963684062	0.06249418467857393
Prostate cancer	0	0	0
Protein digestion and absorption	-0.15094066769178485	-0.1523821832138992	-0
Proximal tubule bicarbonate reclamation	0	0	0
Purine metabolism	0	0	0
Pyrimidine metabolism	0	0	0
Pyruvate metabolism	0.0021865200842784223	0.035265146680880884	-0
Quorum sensing	0	0	-0
Rap1 signaling pathway	0.032958007338031114	0.02209799347424195	0.10443502262882715
Ras signaling pathway	0.032958007338031114	0.02209799347424195	0.10443502262882715
Regulation of lipolysis in adipocytes	0	0	0
Relaxin signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Renin secretion	0.004077841132496982	0.01980507556165494	0
Retinol metabolism	-0.10767490977506211	-0.10924857459263781	-0
Retrograde endocannabinoid signaling	0.07133552414582191	0.06237668034814626	0.05743290615358972
Riboflavin metabolism	0	0	0.056665444111735276
Salivary secretion	0.06625177587214916	0.0686498592762634	0
Secondary bile acid biosynthesis	0	0	0.11774245989626715
Selenocompound metabolism	0.005591942495954288	0.015757758144759583	0
Serotonergic synapse	0	0	0
Serotonin receptor agonists/antagonists	-0.10767490977506211	-0.10924857459263781	-0
Sesquiterpenoid and triterpenoid biosynthesis	0	-0	0
Shigellosis	0.015312099805908952	0.014370112349509823	0
Small cell lung cancer	-0.10767490977506211	-0.10924857459263781	-0
Sphingolipid metabolism	-0	-0.012502545179234008	0
Sphingolipid signaling pathway	0	-0	0
Spinocerebellar ataxia	0.0142781729425515	0.005149334819152143	0.06806347695051211
Starch and sucrose metabolism	-0	-0	0
Staurosporine biosynthesis	-0	-0	-0
Steroid degradation	-0	-0	-0
Steroid hormone biosynthesis	-0	-0	0
Stilbenoid, diarylheptanoid and gingerol biosynthesis	0	0	-0
Streptomycin biosynthesis	0	0	0.21358643664067162
Styrene degradation	-0.14569422043295055	-0.15815580413611774	-0
Sulfoquinovose metabolism	0	0	-0
Sulfur cycle	-0	-0	0
Sulfur metabolism	0	-0	0.0932838690670302
Synaptic vesicle cycle	-0.11184598501753605	-0.11387737196614638	-0
Systemic lupus erythematosus	0.07207614123705021	0.06431356016435168	0.03425744945055714
T cell receptor signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
TGF-beta signaling pathway	0.19498367185452195	0.18942603416323178	0.10429195212464917
Taste transduction	-0.10581829488139027	-0.10778445908914484	-0
Taurine and hypotaurine metabolism	-0.047548073997710494	-0.045261611721694024	-0
Teichoic acid biosynthesis	-0	-0.002832377022124671	0
Terpenoid backbone biosynthesis	-0	-0	-0
Tetracycline biosynthesis	-0	-0	0
Th1 and Th2 cell differentiation	0.0142781729425515	0.005149334819152143	0.06806347695051211
Th17 cell differentiation	-0.10637486696592616	-0.10820336831016023	-0
Thermogenesis	0.05554012478248769	0.057206865039239725	0
Thiamine metabolism	-0	-0.006033216524902343	-0
Thyroid hormone signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Thyroid hormone synthesis	-0.002983580232531402	-0.008739467392706176	-0
Toluene degradation	0	0	0.04813236458449428
Tropane, piperidine and pyridine alkaloid biosynthesis	-0.014791715255033248	-0.014976986674961402	-0
Tryptophan metabolism	-0.12634078370972948	-0.13702718354954221	-0
Two-component system	0.12769264071092257	0.12258060065457106	0.07491504868996092
Type I polyketide structures	0.08627283626351648	0.07752816729669311	0.05417876214280462
Type II diabetes mellitus	0	0	0
Tyrosine metabolism	-0	-0	-0
Ubiquinone and other terpenoid-quinone biosynthesis	-0	-0	-0
VEGF signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Valine, leucine and isoleucine biosynthesis	-0	-0	-0
Valine, leucine and isoleucine degradation	-0.020826509596449477	-0.02645648116186801	-0
Vancomycin resistance	0	-0	0.09622286036344474
Vascular smooth muscle contraction	0	0	0
Vibrio cholerae infection	0.0142781729425515	0.005149334819152143	0.06806347695051211
Vitamin B6 metabolism	0.0017157419940692518	0	0.02608148359559172
Vitamin digestion and absorption	-0	-0	-0
Xylene degradation	0.020703471755162517	0.019200339171628503	0
Zeatin biosynthesis	-0.0759626708358272	-0.07914000112863571	-0
alpha-Linolenic acid metabolism	0	0	0.1533673885204685
beta-Alanine metabolism	0.04183466962539128	0.03707793836430571	0
beta-Lactam resistance	0	0	0
cAMP signaling pathway	-0.052976275662656475	-0.05665473202243829	-0
cGMP-PKG signaling pathway	0.01069681700002399	0.0163773687988598	0
