mz__rtMin	putative_mw	exact_mass	compoundID	compound	pathwayID	pathway	annotation	lcms_run
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00561	Glycerolipid metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00950	Isoquinoline alkaloid biosynthesis	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00627	Aminobenzoate degradation	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00100	Steroid biosynthesis	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00140	Steroid hormone biosynthesis	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map04614	Renin-angiotensin system	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map07229	Angiotensin receptor and endothelin receptor antagonists	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map01100	Metabolic pathways	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00361	Chlorocyclohexane and chlorobenzene degradation	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map01120	Microbial metabolism in diverse environments	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map01200	Carbon metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00270	Cysteine and methionine metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00362	Benzoate degradation	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map01220	Degradation of aromatic compounds	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00380	Tryptophan metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00640	Propanoate metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00364	Fluorobenzoate degradation	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	map00627	Aminobenzoate degradation	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map01100	Metabolic pathways	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map01120	Microbial metabolism in diverse environments	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map00290	Valine, leucine and isoleucine biosynthesis	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map00360	Phenylalanine metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map00362	Benzoate degradation	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map00470	D-Amino acid metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map00660	C5-Branched dibasic acid metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map01210	2-Oxocarboxylic acid metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	map01220	Degradation of aromatic compounds	putative_multi	high-dinp-wk07-wk22
