mz__rtMin	putative_mw	exact_mass	kegg_id	name	formula	pathways	annotation
144.02912__0.431	145.03647	145.0375	C00940	2-Oxoglutaramate; 2-Oxoglutaramic acid; alpha-Ketoglutaramate; 2-Ketoglutaramate; cGMP; Cytochrome c-552	C5H7NO4	Metabolic pathways;Renin secretion;Salivary secretion;Bile secretion;Chemical carcinogenesis - reactive oxygen species;Purine metabolism;Biosynthesis of secondary metabolites;Platelet activation;Thermogenesis;Prolactin signaling pathway;Aldosterone synthesis and secretion;Biosynthesis of amino acids;Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism;cGMP-PKG signaling pathway;Olfactory transduction;Regulation of lipolysis in adipocytes;Gap junction;Circadian entrainment;Long-term depression;Prostate cancer;Pathways in cancer;Phenylalanine, tyrosine and tryptophan biosynthesis;Plant hormone signal transduction;Vascular smooth muscle contraction;Phototransduction;Estrogen signaling pathway;Oxytocin signaling pathway;GnRH secretion;Endocrine and other factor-regulated calcium reabsorption;Chemical carcinogenesis - receptor activation;Steroid hormone biosynthesis;Ovarian steroidogenesis;Endocrine resistance;Breast cancer;Progesterone, androgen and estrogen receptor agonists/antagonists;Hormone signaling	putative_single
145.01316__4.884	146.0205	146.0215	C05406	Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate	C5H6O5	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis	putative_single
145.01319__0.364	146.02049	146.0215	C05406	Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate	C5H6O5	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis	putative_single
145.01321__1.305	146.02039	146.0215	C05406	Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate	C5H6O5	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis	putative_single
145.01323__1.139	146.02066	146.0215	C05406	Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate	C5H6O5	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis	putative_single
145.01336__0.417	146.02078	146.0215	C05406	Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate	C5H6O5	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis	putative_single
145.01343__0.446	146.0209	146.0215	C05406	Gulono-1,4-lactone; Gulonolactone; 5,6beta-Epoxy-5beta-cholestan-3beta-ol; 5-Hydroxy-2,4-dioxopentanoate	C5H6O5	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Biosynthesis of terpenoids and steroids;Carotenoid biosynthesis	putative_single
145.04938__0.476	146.05671	146.0579	C00771	Laminarin; Laminaran; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); Pepstatin; (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid	C12H22O11(C6H10O5)n	Metabolic pathways;Bile secretion;Biosynthesis of secondary metabolites;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Synaptic vesicle cycle;Taste transduction;Inflammatory mediator regulation of TRP channels;cAMP signaling pathway;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Tryptophan metabolism;Gap junction;Pathways in cancer;Degradation of flavonoids;Gastric cancer;Tropane, piperidine and pyridine alkaloid biosynthesis;Axon regeneration;Th17 cell differentiation;Serotonergic synapse;Chemical carcinogenesis - receptor activation;Non-small cell lung cancer;Flavonoid biosynthesis;Retinol metabolism;Intestinal immune network for IgA production;Small cell lung cancer;Serotonin receptor agonists/antagonists	putative_multi
145.04938__0.476	146.05671	146.0579	C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate; (R)-3-Hydroxy-3-methyl-2-oxopentanoic acid; p-Hydroxybutylbenzene; cis-1,2-Diphenylcyclobutane	C6H10O4	Biosynthesis of secondary metabolites;Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism	putative_multi
146.04471__4.779	147.05199	147.0532	C05941	Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; 2-Oxo-4-hydroxy-5-aminovalerate; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic	C5H9NO4	Metabolic pathways;Neuroactive ligand-receptor interaction;Pantothenate and CoA biosynthesis;Arginine and proline metabolism;D-Amino acid metabolism;Fc epsilon RI signaling pathway;Arachidonic acid metabolism;Asthma	putative_single
